Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
616196;Staryi Dobrotvir;Staryi Dobrotvir;Starij Dobrotvir,Staryi Dobrotvir,Staryy Dobrotvir,Staryy Dobrotvor,Старий Добротвір;P;PPL;UA;Ukraine;;15;4612;;;6436;;201;Europe/Kyiv;2022-10-27;Ukraine;50.23154, 24.37701
687417;Zelena;Zelena;Zelena,Zelenaya,Zelënaya,Зелена;P;PPL;UA;Ukraine;;03;7304;;;1980;169;201;Europe/Kyiv;2022-10-27;Ukraine;48.36385, 26.73497
687841;Zakupne;Zakupne;Zakoupne,Zakoupné,Zakupne,Zakupnoe,Закупне,Закупное;P;PPL;UA;Ukraine;;09;6802;;;1384;313;310;Europe/Kyiv;2022-10-27;Ukraine;49.11721, 26.33256
690035;Velykoploske;Velykoploske;Bol'shoye Ploskoye,Bol’shoye Ploskoye,Ploskoye,Velikoploske,Velikoploskoe,Velikoploskoye,Velykoploske,Великоплоске,Великоплоское;P;PPL;UA;Ukraine;;17;5114;;;3344;186;181;Europe/Kyiv;2022-10-27;Ukraine;47.01317, 29.67094
690243;Velyka Mechetnya;Velyka Mechetnya;Velika Mechetnja,Velikaja Mechetnja,Velyka Metchetnia,Vélyka Métchetnia,Велика Мечетня,Великая Мечетня;P;PPL;UA;Ukraine;;16;4808;;;1353;111;94;Europe/Kyiv;2022-10-27;Ukraine;48.08733, 30.59032
690963;Turiisk;Turiisk;Turiisk,Turijs'k,Turisk,Turiys'k,Turiysk,Turiys’k,Turzysk,Tuzhisk,Турійськ;P;PPL;UA;Ukraine;;24;0706;;;5808;;180;Europe/Kyiv;2023-05-03;Ukraine;51.08644, 24.52294
691435;Tomakivka;Tomakivka;Tamakiuka,Tomakivka,Tomakiwka,Tomakovka,tuo ma ji fu ka,Тамакіўка,Томаковка,Томаківка,Տոմակովկա,托馬基夫卡;P;PPL;UA;Ukraine;;04;1208;;;6828;33;31;Europe/Kyiv;2023-01-18;Ukraine;47.81081, 34.74324
691603;Terpinnia;Terpinnia;Terpen'ye,Terpeniye,Terpen’ye,Terpinna,Terpinnia,Terpinnja,Terpinnya,Терпіння;P;PPL;UA;Ukraine;;26;2308;;;4656;;16;Europe/Kyiv;2022-12-13;Ukraine;46.98205, 35.42264
691929;Tamaryne;Tamaryne;Tamarine,Tamarino,Tamaryne,Тамарине;P;PPL;UA;Ukraine;;16;4802;;;1066;59;59;Europe/Kyiv;2022-10-27;Ukraine;47.01875, 33.00243
691943;Talalaivka;Talalaivka;Talalaevka,Talalaivka,Talalayevka,Talalayivka,Талалаевка,Талалаївка;P;PPLA3;UA;Ukraine;;02;7408;;;0;;179;Europe/Kyiv;2023-03-07;Ukraine;50.83913, 33.14374
692108;Ivanove;Ivanove;Ivanove,Sverdlove,Sverdlovo,Іванове,Свердлове;P;PPL;UA;Ukraine;;17;5110;;;1560;37;30;Europe/Kyiv;2022-10-27;Ukraine;46.67688, 30.88484
692352;Studenok;Studenok;Studenok,Studеnоk,si tu jie nuo ke,Студенок,Ստուդենոկ,斯圖傑諾克;P;PPL;UA;Ukraine;;07;6304;;;1440;;77;Europe/Kyiv;2022-10-27;Ukraine;49.08888, 37.48999
692374;Striukove;Striukove;Striukove,Strjukove,Stryukove,Stryukovo,Стрюкове;P;PPL;UA;Ukraine;;17;5102;;;2066;21;25;Europe/Kyiv;2022-10-27;Ukraine;47.37546, 30.57588
692410;Strogonovka;Strogonovka;Mamak,Strogonivka,Strogonovka,Мама́к,Строгоновка,Строгонівка;P;PPL;UA;Ukraine;;11;0116;11152621;;3337;312;309;Europe/Simferopol;2022-10-27;Ukraine;44.9497, 34.17924
692561;Stepnoye;Stepnoye;Munij,Stepne,Stepnoe,Stepnoye,Муни́й,Степне,Степное;P;PPLA3;UA;Ukraine;;11;0112;11153019;;1461;47;44;Europe/Simferopol;2022-10-27;Ukraine;45.65212, 33.77441
692944;Stanislav;Stanislav;Stanislav,Stanislava,Stanislaw,Stanisław,Staņislava,Stаnіslаv,si tan ni si la fu,Станислав,Станіслав,სტანისლავი,斯坦尼斯拉夫;P;PPL;UA;Ukraine;;08;6510;;;4726;;40;Europe/Kyiv;2022-10-27;Ukraine;46.57309, 32.15001
693301;Sokal;Sokal;Sokal,Sokal',Sokal’,Сокаль;P;PPL;UA;Ukraine;;15;4612;;;20373;;198;Europe/Kyiv;2023-05-02;Ukraine;50.47438, 24.28288
694579;Simeikyne;Simeikyne;Semejkino,Semeykino,Semeykinskiy,Simeikine,Simeikyne,Simeikîne,Simejkine,Simejkyne,Simeykine,Simeykyne,Simeykıne,xi mei yi ji nei,Семейкино,Сімейкине,锡梅伊基内;P;PPL;UA;Ukraine;;14;4406;;;2493;;199;Europe/Kyiv;2022-12-13;Ukraine;48.32643, 39.53366
694590;Semenivka;Semenivka;Semenivka,Semenivka i Tsjernihiv oblast,Semeniwka,Semenovka,Seminovka,Semionovka,Semjonovka,Semyonovka,Semënovka,Ssemenowka,smnybqh,smnyfka,xie miao nuo fu ka,Семеновка,Семенівка,Семёновка,Սեմյոնովկա,סמניבקה,سمنیفکا,სემიონოვკა,謝苗諾夫卡;P;PPL;UA;Ukraine;;02;7406;;;7792;;160;Europe/Kyiv;2023-11-23;Ukraine;52.1786, 32.58181
694676;Selyshche;Selyshche;Selishche,Selishhe,Selishtya,Selistea,Seliștea,Selyshche,Селище;P;PPL;UA;Ukraine;;03;7304;;;1375;259;251;Europe/Kyiv;2022-10-27;Ukraine;48.49899, 27.08969
694812;Sarata;Sarata;Sarata,Sărata,sa la ta,sarata,Сарата,サラータ,薩拉塔;P;PPL;UA;Ukraine;;17;5104;;;4257;9;13;Europe/Kyiv;2023-03-07;Ukraine;46.02056, 29.66444
694889;Salkove;Salkove;Sal'kove,Sal'kovo,Salkove,Salkové,Салькове,Сальково;P;PPL;UA;Ukraine;;10;3502;;;1651;182;169;Europe/Kyiv;2022-10-27;Ukraine;48.25677, 29.98347
696426;Potelych;Potelych;Potelich,Potelych,Potylich,Potylicz,Потелич;P;PPL;UA;Ukraine;;15;4606;;;2500;258;265;Europe/Kyiv;2022-12-24;Ukraine;50.20804, 23.54674
696566;Popasna;Popasna;Imeni Kaganovicha,Imeni L.M. Kaganovicha,Kaganovich,Kaganowitsch,Popasna,Popasnaja,Popasnaya,Popasnyj,bo pa si na,pwpasna,Попасна,Попасная,Попасный,Պոպասնայա,پوپاسنا,პოპასნაია,波帕斯納;P;PPL;UA;Ukraine;;14;4412;;;19199;;243;Europe/Kyiv;2023-05-02;Ukraine;48.63328, 38.37804
696677;Polohy;Polohy;Pologi,Pologı,Polohi,Polohy,Polohî,Połohy,bo luo ji,pwlwhy,Пологи,Պոլոգի,פולוהי,پولوهی,პოლოგი,波洛吉;P;PPLA2;UA;Ukraine;;26;2310;;;18111;102;111;Europe/Kyiv;2023-01-23;Ukraine;47.47865, 36.25463
697450;Kurisove;Kurisove;Kurisove,Kurisovo,Petrivka,Petrovka,Petrovskoye,Курисово,Курісове,Петрівка;P;PPL;UA;Ukraine;;17;5102;;;3676;92;9;Europe/Kyiv;2023-03-31;Ukraine;46.96951, 30.95914
698347;Orzhiv;Orzhiv;Orjiv,Orschiw,Orzew,Orzhev,Orzhiv,Orzhyu,Orziv,Orživ,ao er ri fu,orutsuivu,Órzhiv,Оржев,Оржыў,Оржів,オルツィヴ,奥尔日夫,奧爾日夫;P;PPL;UA;Ukraine;;19;5606;;;3835;;175;Europe/Kyiv;2022-10-27;Ukraine;50.75227, 26.11907
698570;Olyshivka;Olyshivka;Alyshyuka,Olischewka,Olisevka,Olishevka,Olishivka,Olishëvka,Olisivka,Olychivka,Olyschiwka,Olyshivka,Olysivka,Olysziwka,Olyšivka,Olîșivka,Olışivka,Ołysziwka,ao li xi fu ka,orishifuka,Алышыўка,Олишевка,Олишивка,Олишівка,Օլիշևկա,オリーシフカ,奧利希夫卡;P;PPL;UA;Ukraine;;02;7410;;;1794;;118;Europe/Kyiv;2023-05-01;Ukraine;51.22266, 31.33314
698807;Obodivka;Obodivka;Obodivka,Obodovka,Obodovka Novaya,Ободовка,Ободівка;P;PPL;UA;Ukraine;;23;0504;;;3378;;177;Europe/Kyiv;2022-10-27;Ukraine;48.40063, 29.25588
698921;Novi Troyany;Novi Troyany;Novi Troiany,Novi Trojani,Novi Troïany,Novye Trojany,Nowi Trojany,Traian,Traianu-Nou,xin te luo ya ni,Нови Трояни,Новые Трояны,Нові Трояни,新特羅亞尼;P;PPL;UA;Ukraine;;17;5106;;;4234;138;114;Europe/Kyiv;2022-10-27;Ukraine;45.943, 28.85947
